genus	segmented
Betachrysovirus	no
Gammatectivirus	no
Bantamvirus	no
Betterkatzvirus	no
Wilnyevirus	no
Bowservirus	no
Vividuovirus	no
Britbratvirus	no
Emalynvirus	no
Eyrevirus	no
Galunavirus	no
Gamtrevirus	no
Bendigovirus	no
Getseptimavirus	no
Ghobesvirus	no
Gesputvirus	no
Gustavvirus	no
Hedwigvirus	no
Gorjumvirus	no
Nyceiraevirus	no
Orchidvirus	no
Sourvirus	no
Yvonnevirus	no
Iodovirus	no
Locarnavirus	no
Sugarlandvirus	no
Jedunavirus	no
Alcyoneusvirus	no
Negarvirus	no
Magoulivirus	no
Malagasivirus	no
Dismasvirus	no
Elerivirus	no
Kojivirus	no
Ilzatvirus	no
Farahnazvirus	no
Minunavirus	no
Pikminvirus	no
Minovirus	no
Tortellinivirus	no
Myxoctovirus	no
Nacovirus	no
Salovirus	no
Lilyvirus	no
Halcyonevirus	no
Vidquintavirus	no
Vhulanivirus	no
Peatvirus	no
Phimunavirus	no
Myunavirus	no
Novosibvirus	no
Priunavirus	no
Bifseptvirus	no
Beetrevirus	no
Bjornvirus	no
Flaumdravirus	no
Vicosavirus	no
Noxifervirus	no
Plaisancevirus	no
Pollyceevirus	no
Otagovirus	no
Samunavirus	no
Napahaivirus	no
Nickievirus	no
Chakrabartyvirus	no
Tabernariusvirus	no
Krylovvirus	no
Ripduovirus	no
Recovirus	no
Rigallicvirus	no
Trinavirus	no
Weaselvirus	no
Kryptosalinivirus	no
Stockinghallvirus	no
Brunovirus	no
Scleroulivirus	no
Eneladusvirus	no
Winklervirus	no
Cultervirus	no
Hanrivervirus	no
Lacusarxvirus	no
Delepquintavirus	no
Rimavirus	no
Bingvirus	no
Samistivirus	no
Scapunavirus	no
Tijeunavirus	no
Thomixvirus	no
Nutorquevirus	no
Tottorivirus	no
Aphroditevirus	no
Jesfedecavirus	no
Tidunavirus	no
Vipunavirus	no
Whiflysatellite	no
Eisenstarkvirus	no
Xylivirus	no
Alphanemrhavirus	no
Salvovirus	no
Sanovirus	no
Loughboroughvirus	no
Hicfunavirus	no
Newforgelanevirus	no
Arawnvirus	no
Opunvirus	no
Mydovirus	no
Fairfaxidumvirus	no
Andhravirus	no
Torbevirus	no
Teetrevirus	no
Aarhusvirus	no
Apdecimavirus	no
Daemvirus	no
Pettyvirus	no
Kaohsiungvirus	no
Murciavirus	no
Trungvirus	no
Uliginvirus	no
Kantovirus	no
Kotilavirus	no
Stompvirus	no
Kirikabuvirus	no
Tunggulvirus	no
Aerosvirus	no
Aghbyvirus	no
Ahphunavirus	no
Cronosvirus	no
Panjvirus	no
Pienvirus	no
Pokrovskaiavirus	no
Wanjuvirus	no
Acadevirus	no
Axomammavirus	no
Tuodvirus	no
Ampunavirus	no
Higashivirus	no
Mguuvirus	no
Risjevirus	no
Sukuvirus	no
Bucovirus	no
Koutsourovirus	no
Novosibovirus	no
Caroctavirus	no
Chatterjeevirus	no
Eapunavirus	no
Elunavirus	no
Foetvirus	no
Helsettvirus	no
Jarilovirus	no
Minipunavirus	no
Ningirsuvirus	no
Pektosvirus	no
Phutvirus	no
Pifdecavirus	no
Pijolavirus	no
Troedvirus	no
Unyawovirus	no
Aegirvirus	no
Ashivirus	no
Atuphduovirus	no
Ayakvirus	no
Ayaqvirus	no
Banchanvirus	no
Bonnellvirus	no
Cheungvirus	no
Cuernavacavirus	no
Cyclitvirus	no
Ermolevavirus	no
Foturvirus	no
Foussvirus	no
Fussvirus	no
Gajwadongvirus	no
Gyeongsanvirus	no
Igirivirus	no
Jalkavirus	no
Jiaoyazivirus	no
Kafavirus	no
Kajamvirus	no
Kalppathivirus	no
Kelmasvirus	no
Kembevirus	no
Krakvirus	no
Lingvirus	no
Lirvirus	no
Lullwatervirus	no
Maculvirus	no
Nohivirus	no
Oinezvirus	no
Paadamvirus	no
Pagavirus	no
Pairvirus	no
Pedosvirus	no
Pekhitvirus	no
Pelagivirus	no
Percyvirus	no
Piedvirus	no
Podivirus	no
Poseidonvirus	no
Powvirus	no
Qadamvirus	no
Scottvirus	no
Sednavirus	no
Serkorvirus	no
Sieqvirus	no
Stompelvirus	no
Stopalavirus	no
Stopavirus	no
Tangaroavirus	no
Tawavirus	no
Tritonvirus	no
Votkovvirus	no
Wuhanvirus	no
Carltongylesvirus	no
Faunusvirus	no
Loessnervirus	no
Pahsextavirus	no
Suwonvirus	no
Yushanvirus	no
Hongcheonvirus	no
Pogseptimavirus	no
Shenzhenvirus	no
Christensenvirus	no
Loudonvirus	no
Eastlansingvirus	no
Lindendrivevirus	no
Wilsonroadvirus	no
Warwickvirus	no
Badaguanvirus	no
Nouzillyvirus	no
Sauletekiovirus	no
Vilniusvirus	no
Baoshanvirus	no
Harbinvirus	no
Sciuriunavirus	no
Canoevirus	no
Catalunyavirus	no
Entnonagintavirus	no
Elveevirus	no
Felsduovirus	no
Kisquattuordecimvirus	no
Kisquinquevirus	no
Nampongvirus	no
Phitrevirus	no
Playavirus	no
Reginaelenavirus	no
Senquatrovirus	no
Seongnamvirus	no
Simpcentumvirus	no
Vulnificusvirus	no
Xuanwuvirus	no
Acionnavirus	no
Ahtivirus	no
Alexandravirus	no
Anamdongvirus	no
Anaposvirus	no
Aokuangvirus	no
Atlauavirus	no
Baikalvirus	no
Barbavirus	no
Bellamyvirus	no
Brigitvirus	no
Brizovirus	no
Charybdisvirus	no
Cymopoleiavirus	no
Eponavirus	no
Eurybiavirus	no
Goslarvirus	no
Heilongjiangvirus	no
Kanaloavirus	no
Lagaffevirus	no
Leucotheavirus	no
Libanvirus	no
Llyrvirus	no
Mazuvirus	no
Mushuvirus	no
Neptunevirus	no
Nereusvirus	no
Nerrivikvirus	no
Nodensvirus	no
Palaemonvirus	no
Phabquatrovirus	no
Phapecoctavirus	no
Pontusvirus	no
Qingdaovirus	no
Rosemountvirus	no
Salacisavirus	no
Salmondvirus	no
Sasquatchvirus	no
Schmittlotzvirus	no
Tamkungvirus	no
Taranisvirus	no
Tefnutvirus	no
Thaumasvirus	no
Thetisvirus	no
Toutatisvirus	no
Vellamovirus	no
Wellingtonvirus	no
Wifcevirus	no
Yoloswagvirus	no
Hungariovirus	no
Kelquatrovirus	no
Mukerjeevirus	no
Shizishanvirus	no
Skarprettervirus	no
Sortsnevirus	no
Xuquatrovirus	no
Bertelyvirus	no
Colossusvirus	no
Poindextervirus	no
Getalongvirus	no
Horusvirus	no
Phistoryvirus	no
Douglaswolinvirus	no
Lenusvirus	no
Lidleunavirus	no
Maenadvirus	no
Abbeymikolonvirus	no
Andrewvirus	no
Appavirus	no
Apricotvirus	no
Armstrongvirus	no
Attoomivirus	no
Austintatiousvirus	no
Bridgettevirus	no
Coralvirus	no
Daredevilvirus	no
Edenvirus	no
Feofaniavirus	no
Fibralongavirus	no
Franklinbayvirus	no
Gillianvirus	no
Godonkavirus	no
Goodmanvirus	no
Hiyaavirus	no
Jacevirus	no
Juiceboxvirus	no
Krampusvirus	no
Lanavirus	no
Lentavirus	no
Liebevirus	no
Luckybarnesvirus	no
Luckytenvirus	no
Lughvirus	no
Majavirus	no
Manhattanvirus	no
Maxrubnervirus	no
Mementomorivirus	no
Metamorphoovirus	no
Murrayvirus	no
Neferthenavirus	no
Oengusvirus	no
Raleighvirus	no
Rogerhendrixvirus	no
Ronaldovirus	no
Rowavirus	no
Ruthyvirus	no
Samwavirus	no
Sansavirus	no
Sashavirus	no
Schnabeltiervirus	no
Schubertvirus	no
Seussvirus	no
Sonalivirus	no
Squashvirus	no
Terapinvirus	no
Trinevirus	no
Vashvirus	no
Vojvodinavirus	no
Yangvirus	no
Zetavirus	no
Betapleolipovirus	no
Alphanucleorhabdovirus	no
Arurhavirus	no
Barhavirus	no
Ohlsrhavirus	no
Sawgrhavirus	no
Zarhavirus	no
Pontunivirus	no
Cyclophivirus	no
Kukrinivirus	no
Chimshavirus	no
Sajorinivirus	no
Macropopoxvirus	no
Mustelpoxvirus	no
Salmonpoxvirus	no
Alphalipothrixvirus	no
Subclovsatellite	no
Finnlakevirus	no
Miniambidensovirus	no
Hexartovirus	no
Alphapleolipovirus	no
Gammapleolipovirus	no
Mousrhavirus	no
Aquambidensovirus	no
Betanucleorhabdovirus	no
Gammanucleorhabdovirus	no
Salterprovirus	no
Lavrentievavirus	no
Kingevirus	no
Cohcovirus	no
Junduvirus	no
Drivevirus	no
Culoivirus	no
Carjivirus	no
Lebriduvirus	no
Canhaevirus	no
Kolpuevirus	no
Dabirmavirus	no
Delmidovirus	no
Jahgtovirus	no
Endlipuvirus	no
Diorhovirus	no
Kahnovirus	no
Campanilevirus	no
Kujavirus	no
Tedavirus	no
Vapseptimavirus	no
Dongdastvirus	no
Pourcelvirus	no
Moturavirus	no
Lazarusvirus	no
Hadassahvirus	no
Lasallevirus	no
Acajnonavirus	no
Presleyvirus	no
Zedzedvirus	no
Kamchatkavirus	no
Plateaulakevirus	no
Lahexavirus	no
Ceceduovirus	no
Alphaglobulovirus	no
Alphatristromavirus	no
Myoalterovirus	no
Amoyvirus	no
Kozyakovvirus	no
Tandoganvirus	no
Apeevirus	no
Anjalivirus	no
Ayohtrevirus	no
Kuleanavirus	no
Mufasoctovirus	no
Triplejayvirus	no
Vibakivirus	no
Azorudivirus	no
Elmenteitavirus	no
Claudivirus	no
Pushchinovirus	no
Jarrellvirus	no
Becedseptimavirus	no
Bembunaquatrovirus	no
Waukeshavirus	no
Jeonjuvirus	no
Beceayunavirus	no
Harambevirus	no
Camtrevirus	no
Carmenvirus	no
Hemphillvirus	no
Deurplevirus	no
Eldridgevirus	no
Karezivirus	no
Klosterneuburgvirus	no
Hubeivirus	no
Pebcunavirus	no
Pemunavirus	no
Bundooravirus	no
Mingyongvirus	no
Spizizenvirus	no
Rockvillevirus	no
Goettingenvirus	no
Grisebachstrassevirus	no
Betatristromavirus	no
Badaztecvirus	no
Alpharicinrhavirus	no
Bonzesmacovirus	no
Boscovirus	no
Bostasmacovirus	no
Botrytimonavirus	no
Bottigliavirus	no
Bovismacovirus	no
Agmunavirus	no
Sarumanvirus	no
Cebevirus	no
Charybdivirus	no
Citrovirus	no
Leicestervirus	no
Sherbrookevirus	no
Gregsiragusavirus	no
Brucesealvirus	no
Capvunavirus	no
Susfortunavirus	no
Cosmacovirus	no
Privateervirus	no
Culicidavirus	no
Cunavirus	no
Dendoorenvirus	no
Sanyabayvirus	no
Sigmavirus	no
Dragsmacovirus	no
Kanagawavirus	no
Empivirus	no
Eceepunavirus	no
Novemvirus	no
Pankowvirus	no
Marienburgvirus	no
Yautsimvirus	no
Aguilavirus	no
Nochtlivirus	no
Copernicusvirus	no
Minhovirus	no
Enterogokushovirus	no
Henunavirus	no
Waedenswilvirus	no
Yonginvirus	no
Veterinaerplatzvirus	no
Jouyvirus	no
Alegriavirus	no
Nesevirus	no
Glaedevirus	no
Bievrevirus	no
Sabourvirus	no
Henuseptimavirus	no
Changchunvirus	no
Sawaravirus	no
Radostvirus	no
Muminvirus	no
Hattifnattvirus	no
Lillamyvirus	no
Labanvirus	no
Pippivirus	no
Tantvirus	no
Betapaprhavirus	no
Latrobevirus	no
Gemyduguivirus	no
Gemygorvirus	no
Gemykibivirus	no
Gemykolovirus	no
Gemykrogvirus	no
Gemykroznavirus	no
Gemytondvirus	no
Gemyvongvirus	no
Tanisvirus	no
Kenoshavirus	no
Lambovirus	no
Secretariatvirus	no
Gyrovirus	no
Hagavirus	no
Hoswirudivirus	no
Alphadrosrhavirus	no
Alphapaprhavirus	no
Betanemrhavirus	no
Hubramonavirus	no
Hukuchivirus	no
Itarudivirus	no
Marfavirus	no
Kaypoctavirus	no
Pylasvirus	no
Lastavirus	no
Yonseivirus	no
Vimunumvirus	no
Reipivirus	no
Watanabevirus	no
Tybeckvirus	no
Ashduovirus	no
Behunavirus	no
Colunavirus	no
Junavirus	no
Lafunavirus	no
Lacnuvirus	no
Hopescreekvirus	no
Elpedvirus	no
Larmunavirus	no
Pleeduovirus	no
Pleetrevirus	no
Sukhumvitvirus	no
Iaduovirus	no
Fattrevirus	no
Whiteheadvirus	no
Fremauxvirus	no
Vedamuthuvirus	no
Audreyjarvisvirus	no
Teubervirus	no
Sandinevirus	no
Chertseyvirus	no
Nevevirus	no
Uwajimavirus	no
Questintvirus	no
Saintgironsvirus	no
Nylescharonvirus	no
Seongbukvirus	no
Jelitavirus	no
Slepowronvirus	no
Livvievirus	no
Merhavirus	no
Akonivirus	no
Tinytimothyvirus	no
Burrovirus	no
Fukuivirus	no
Morsusvirus	no
Cornievirus	no
Cukevirus	no
Hnatkovirus	no
Fowlmouthvirus	no
Indlulamithivirus	no
Thetabobvirus	no
Sparkyvirus	no
Squirtyvirus	no
Myriavirus	no
Ravarandavirus	no
Odonatavirus	no
Sozzivirus	no
Ollusvirus	no
Dragolirvirus	no
Wanderervirus	no
Kylevirus	no
Dibbivirus	no
Lietduovirus	no
Paulavirus	no
Cbunavirus	no
Pediavirus	no
Pepevirus	no
Perrunavirus	no
Penoulivirus	no
Piscichuvirus	no
Ronodorvirus	no
Myducvirus	no
Shandongvirus	no
Melvirus	no
Matsuvirus	no
Warsawvirus	no
Littlefixvirus	no
Knuthellervirus	no
Zicotriavirus	no
Zurivirus	no
Inbricusvirus	no
Anchaingvirus	no
Bakolyvirus	no
Cimandefvirus	no
Gervaisevirus	no
Firingavirus	no
Rahariannevirus	no
Sleepyheadvirus	no
Epsilontectivirus	no
Whackvirus	no
Aoqinvirus	no
Rubivirus	no
Aorunvirus	no
Pomeroyivirus	no
Salinovirus	no
Irrigatiovirus	no
Astrithrvirus	no
Scarabeuvirus	no
Sclerotimonavirus	no
Moabitevirus	no
Myosmarvirus	no
Muldoonvirus	no
Parlovirus	no
Huelvavirus	no
Coventryvirus	no
Menderavirus	no
Pokkenvirus	no
Annadreamyvirus	no
Borockvirus	no
Gilsonvirus	no
Flowerpowervirus	no
Deltatectivirus	no
Immanueltrevirus	no
Manuelvirus	no
Karimacvirus	no
Raunefjordenvirus	no
Taceavirus	no
Shirahamavirus	no
Kungbxnavirus	no
Dorisvirus	no
Nahantvirus	no
Galateavirus	no
Stoningtonvirus	no
Yongunavirus	no
Alphacrustrhavirus	no
Riverridervirus	no
Alachuavirus	no
Dinavirus	no
Mincapvirus	no
Swiduovirus	no
Alphayadokarivirus	no
Afonbuvirus	no
Akihdevirus	no
Akiravirus	no
Alisovirus	no
Alphafusarivirus	no
Alphahypovirus	no
Amginevirus	no
Aminayvirus	no
Andurilvirus	no
Angelvirus	no
Anthonyvirus	no
Antsirabevirus	no
Aptresvirus	no
Archimedesvirus	no
Arsyunavirus	no
Aurodevirus	no
Avocadovirus	no
Bacelvirus	no
Baltivirus	no
Beejeyvirus	no
Beograduvirus	no
Besingivirus	no
Betafusarivirus	no
Betahypovirus	no
Betayadokarivirus	no
Bippervirus	no
Birdsnestvirus	no
Birpovirus	no
Blohavirus	no
Bonaevitaevirus	no
Bosavirus	no
Bragavirus	no
Bristolvirus	no
Broinstvirus	no
Bromdenvirus	no
Buchananvirus	no
Buchavirus	no
Buhlduvirus	no
Buorbuivirus	no
Burzaovirus	no
Cacepaovirus	no
Caelumvirus	no
Callevirus	no
Caminolopintovirus	no
Carettavirus	no
Catfishvirus	no
Cebadecemvirus	no
Cedarrivervirus	no
Celiavirus	no
Cellubavirus	no
Cenphatecvirus	no
Cetarhavirus	no
Chalconvirus	no
Chrysonvirus	no
Chuhaivirus	no
Clampvirus	no
Clownvirus	no
Coatlandelriovirus	no
Dagavirus	no
Dardanusvirus	no
Dechshavirus	no
Deltahypovirus	no
Denvervirus	no
Deseoctovirus	no
Dexdertvirus	no
Doupovirus	no
Dpdavirus	no
Duamitovirus	no
Dunedinvirus	no
Duodecimduovirus	no
Eagleeyevirus	no
Efbeekayvirus	no
Efekovirus	no
Eilatmyovirus	no
Electravirus	no
Elemovirus	no
Emcearvirus	no
Enchivirus	no
Epaquintavirus	no
Epsilonhypovirus	no
Etapolyomavirus	no
Evevirus	no
Exceevirus	no
Fengtaivirus	no
Finchvirus	no
Fohxhuevirus	no
Foxborovirus	no
Foxquatrovirus	no
Foxunavirus	no
Freyavirus	no
Galenevirus	no
Gediminasvirus	no
Gegavirus	no
Gegevirus	no
Gemsvirus	no
Gibbetvirus	no
Glaucusvirus	no
Greenvirus	no
Grondvirus	no
Gruunavirus	no
Gualtarvirus	no
Gundelvirus	no
Gwanakrovirus	no
Hacavirus	no
Hacihdavirus	no
Hagravirus	no
Haifavirus	no
Halohivirus	no
Harrekavirus	no
Hatrivirus	no
Huangshavirus	no
Illuinvirus	no
Immutovirus	no
Imvubuvirus	no
Ingelinevirus	no
Jacunavirus	no
Janusvirus	no
Jiangsuvirus	no
Jolieduovirus	no
Justusliebigvirus	no
Kablunavirus	no
Kagamiyamavirus	no
Kahucivirus	no
Kapieceevirus	no
Kayeltresvirus	no
Kehishuvirus	no
Kimonavirus	no
Kokobelvirus	no
Kroosvirus	no
Kumaovirus	no
Kunmingvirus	no
Lahndsivirus	no
Laminvirus	no
Leefvirus	no
Lilbeanievirus	no
Lilmcdreamyvirus	no
Lipsvirus	no
Lonfivirus	no
Lowelvirus	no
Luchadorvirus	no
Macariavirus	no
Macdonaldcampvirus	no
Mahlunavirus	no
Mahstovirus	no
Makelovirus	no
Manovirus	no
Maxdohrnvirus	no
Metforvirus	no
Micavirus	no
Minorvirus	no
Mithrilvirus	no
Mollyvirus	no
Moomoovirus	no
Mosugukvirus	no
Mycoabscvirus	no
Myradeevirus	no
Myrnavirus	no
Nekkelsvirus	no
Neritesvirus	no
Nilusvirus	no
Noahvirus	no
Oliverunavirus	no
Omarvirus	no
Ormenosvirus	no
Pamirivirus	no
Paopuvirus	no
Pariacacavirus	no
Paundivirus	no
Penintadodekavirus	no
Peternellavirus	no
Pharaohvirus	no
Phleivirus	no
Phobosvirus	no
Phrappuccinovirus	no
Pinnievirus	no
Pipoluvirus	no
Pleakleyvirus	no
Pormufvirus	no
Porrectionivirus	no
Potamoivirus	no
Puppervirus	no
Purkyvirus	no
Quadragintavirus	no
Quesadillavirus	no
Redjacvirus	no
Refugevirus	no
Retbasiphovirus	no
Rosariovirus	no
Roskildevirus	no
Sagamiharavirus	no
Saguarovirus	no
Saldibavirus	no
Saltrevirus	no
Salutenavirus	no
Samsavirus	no
Santafevirus	no
Schmidtvirus	no
Scophrhavirus	no
Sedonavirus	no
Seejivirus	no
Segzyvirus	no
Sentinelvirus	no
Seodaemunguvirus	no
Sessunavirus	no
Shandvirus	no
Sharonstreetvirus	no
Sheenvirus	no
Shuimuvirus	no
Siniperhavirus	no
Siphunculivirus	no
Skatevirus	no
Skogvirus	no
Skysandvirus	no
Sokavirus	no
Stormageddonvirus	no
Sukkupivirus	no
Sustrivirus	no
Thetahypovirus	no
Thonkovirus	no
Tinalinvirus	no
Tralespevirus	no
Triamitovirus	no
Triduovirus	no
Typhavirus	no
Unicornvirus	no
Unuamitovirus	no
Valbvirus	no
Vicoquintavirus	no
Vipetofemvirus	no
Wadgaonvirus	no
Wulfhauvirus	no
Xaviavirus	no
Xooduovirus	no
Yeceytrevirus	no
Yosifvirus	no
Zhonglingvirus	no
Zitchvirus	no
Jeilongvirus	no
Orthoflavivirus	no
Aparavirus	no
Amalgavirus	no
Alphacarmovirus	no
Nepovirus	no
Tombusvirus	no
Metapneumovirus	no
Betanecrovirus	no
Waikavirus	no
Triatovirus	no
Comovirus	no
Rheavirus	no
Betacarmovirus	no
Sequivirus	no
Cavemovirus	no
Pelarspovirus	no
Gammacarmovirus	no
Aureusvirus	no
Deltabaculovirus	no
Toursvirus	no
Alphanudivirus	no
Macanavirus	no
Gallantivirus	no
Okavirus	no
Gammanudivirus	no
Machlomovirus	no
Zeavirus	no
Gammabaculovirus	no
Avenavirus	no
Alphanecrovirus	no
Petuvirus	no
Manticavirus	no
Batravirus	no
Tungrovirus	no
Rosadnavirus	no
Ruflodivirus	no
Solendovirus	no
Deltanudivirus	no
Zetatorquevirus	no
Gammatorquevirus	no
Kappatorquevirus	no
Epsilontorquevirus	no
Deltatorquevirus	no
Zybavirus	no
Orthopneumovirus	no
Ictavirus	no
Macavirus	no
Cyvirus	no
Simplexvirus	no
Rhadinovirus	no
Varicellovirus	no
Lymphocryptovirus	no
Quwivirus	no
Scutavirus	no
Bossavirus	no
Iltovirus	no
Aurivirus	no
Muromegalovirus	no
Ostreavirus	no
Salmovirus	no
Orthoavulavirus	no
Actinovirus	no
Agnathovirus	no
Aquabirnavirus	no
Aquaparamyxovirus	no
Artiparvovirus	no
Aveparvovirus	no
Bandavirus	no
Betanudivirus	no
Blattambidensovirus	no
Brevihamaparvovirus	no
Chaphamaparvovirus	no
Chitorquevirus	no
Copiparvovirus	no
Diatodnavirus	no
Diciambidensovirus	no
Dioscovirus	no
Etatorquevirus	no
Ferlavirus	no
Glossinavirus	no
Goukovirus	no
Hemiambidensovirus	no
Hepanhamaparvovirus	no
Heverleevirus	no
Ichtchaphamaparvovirus	no
Ixovirus	no
Kieseladnavirus	no
Lambdatorquevirus	no
Loanvirus	no
Mammarenavirus	no
Muscavirus	no
Mutorquevirus	no
Narmovirus	no
Nieuwekanaalvirus	no
Omegatorquevirus	no
Orthoebolavirus	no
Orthotospovirus	no
Pefuambidensovirus	no
Penstylhamaparvovirus	no
Protoambidensovirus	no
Reptillovirus	no
Salemvirus	no
Sawastrivirus	no
Scindoambidensovirus	no
Seawadnavirus	no
Sigmatorquevirus	no
Striavirus	no
Suseptimavirus	no
Thamnovirus	no
Thetatorquevirus	no
Uukuvirus	no
Wawtorquevirus	no
Xitorquevirus	no
Kratosvirus	no
Megavirus	no
Orthonoravirus	no
Paclarkvirus	no
Piorkowskivirus	no
Temfrudevirus	no
Yermavirus	no
